Aureon Grant War Room,Aureon Grant War Room
"Shared operating file for funding pipeline, validation, application tracking, and communications. Generated 2026-07-04.","Shared operating file for funding pipeline, validation, application tracking, and communications. Generated 2026-07-04."
Item,Current operating position
File purpose,"One shared Google Drive source of truth for Aureon grant operations, application tracking, evidence, communications, and next actions."
Operating role,Codex/Aureon is acting as grant-ops operator and drafting assistant. Gary Leckey remains the legal company director and approval authority.
Immediate priority,"Clear company compliance blocker, then prepare 2 to 3 high-fit applications instead of scattering effort across every possible call."
Compliance blocker,Companies House shows the confirmation statement due 2026-05-09 as overdue. Resolve before submitting competitive bids where possible.
Primary grant thesis,"Aureon is positioned as a local-first evidence OS for AI, fintech, logistics automation, research validation, and controlled live operations."
Claim discipline,"Use strong but defensible language. Separate verified software capability, public research claims, and speculative research hypotheses."
Approval rule,"No external submission, legal representation, filing, payment, or email send should happen without Gary approval."
Generated,2026-07-04
Operating boundary,Operating boundary
"Gary Leckey remains the legal director and approval authority. This file makes the grant process uniform; it does not transfer legal authority, sign anything, send email, file accounts, or submit grants by itself.","Gary Leckey remains the legal director and approval authority. This file makes the grant process uniform; it does not transfer legal authority, sign anything, send email, file accounts, or submit grants by itself."
