application_id,competition_id,name,budget_role,source_backed_total_gbp,staged_total_gbp,grant_request_gbp,company_contribution_gbp,pdf
APP-IFS-ADOPT-FACILITATOR-R10-2520-20260709,2520,ADOPT Facilitator Support Grant: Round 10,Partner-led project budget support,2500,2500,2500,0,output/pdf/ifs/funder_safe_cost_appendices_20260712_113502/2520_ADOPT_Facilitator_Support_Grant_Round_10_20260712_113502.pdf
APP-IFS-UK-SWISS-CRD-R3-2512-20260709,2512,UK-Switzerland CR&D Round 3,Draft project budget basis,216194,250000,175000,75000,output/pdf/ifs/funder_safe_cost_appendices_20260712_113502/2512_UK_Switzerland_CR_D_Round_3_20260712_113502.pdf
APP-IFS-QUANTUM-HARDWARE-CRD-2523-20260709,2523,Scaling performance of quantum computing hardware: CR&D,Collaborative hardware validation budget support,216194,250000,,,output/pdf/ifs/funder_safe_cost_appendices_20260712_113502/2523_Scaling_performance_of_quantum_computing_hardware_CR_D_20260712_113502.pdf
APP-IFS-DRIVE35-COLLAB3-2522-20260709,2522,DRIVE35 Innovation Fund: Collaborate 3,Collaborative zero-emission vehicle budget support,216194,250000,,,output/pdf/ifs/funder_safe_cost_appendices_20260712_113502/2522_DRIVE35_Innovation_Fund_Collaborate_3_20260712_113502.pdf
APP-IFS-DRIVE35-SCALE-UP-2445-20260709,2445,DRIVE35: Scale Up Fund,Capital-project budget method,216194,250000,,,output/pdf/ifs/funder_safe_cost_appendices_20260712_113502/2445_DRIVE35_Scale_Up_Fund_20260712_113502.pdf
APP-IFS-FULL-ADOPT-R8-2491-20260709,2491,Full ADOPT Grant: Round 8,Farm-led project budget support,39605,50000,,,output/pdf/ifs/funder_safe_cost_appendices_20260712_113502/2491_Full_ADOPT_Grant_Round_8_20260712_113502.pdf
APP-IFS-ACTASAP-PILOT-2502-20260709,2502,ACTASAP Pilot Phase 1,Academic-led project budget support,59640,75000,,,output/pdf/ifs/funder_safe_cost_appendices_20260712_113502/2502_ACTASAP_Pilot_Phase_1_20260712_113502.pdf
APP-IFS-AKT6-2473-20260709,2473,Accelerated Knowledge Transfer Partnerships 6 (AKT 6),Knowledge-base-led project budget support,59640,75000,,7500,output/pdf/ifs/funder_safe_cost_appendices_20260712_113502/2473_Accelerated_Knowledge_Transfer_Partnerships_6_AKT_6_20260712_113502.pdf
APP-IFS-CKAF-AUTUMN-2478-20260709,2478,Commercialising Knowledge Assets Fund (CKAF) Autumn,Public-sector research organisation budget support,39605,50000,,,output/pdf/ifs/funder_safe_cost_appendices_20260712_113502/2478_Commercialising_Knowledge_Assets_Fund_CKAF_Autumn_20260712_113502.pdf
APP-IFS-ZEVI2-ENERGY-EFFICIENCY-2436-20260709,2436,Zero Emission Vessels and Infrastructure 2: Energy Efficiency,Maritime consortium budget support,216194,250000,,,output/pdf/ifs/funder_safe_cost_appendices_20260712_113502/2436_Zero_Emission_Vessels_and_Infrastructure_2_Energy_Efficiency_20260712_113502.pdf
APP-IFS-ZEVI2-ELECTRIC-POWER-2435-20260709,2435,Zero Emission Vessels and Infrastructure 2: Electric Power,Maritime consortium budget support,216194,250000,,,output/pdf/ifs/funder_safe_cost_appendices_20260712_113502/2435_Zero_Emission_Vessels_and_Infrastructure_2_Electric_Power_20260712_113502.pdf
APP-IFS-ZEVI2-ALTERNATIVE-FUELS-2434-20260709,2434,Zero Emission Vessels and Infrastructure 2: Alternative Fuels,Maritime consortium budget support,216194,250000,,,output/pdf/ifs/funder_safe_cost_appendices_20260712_113502/2434_Zero_Emission_Vessels_and_Infrastructure_2_Alternative_Fuels_20260712_113502.pdf
APP-IFS-CMDC7-PREDEPLOYMENT-2415-20260709,2415,Clean Maritime Demonstration Competition 7: Pre-deployment trials,Maritime lead project budget support,216194,250000,,,output/pdf/ifs/funder_safe_cost_appendices_20260712_113502/2415_Clean_Maritime_Demonstration_Competition_7_Pre_deployment_trials_20260712_113502.pdf
APP-IFS-CMDC7-FEASIBILITY-2416-20260709,2416,Clean Maritime Demonstration Competition 7: Feasibility studies,Maritime lead project budget support,216194,250000,,,output/pdf/ifs/funder_safe_cost_appendices_20260712_113502/2416_Clean_Maritime_Demonstration_Competition_7_Feasibility_studies_20260712_113502.pdf
APP-IFS-CMDC7-DEPLOYMENT-2414-20260709,2414,Clean Maritime Demonstration Competition 7: Deployment trials,Maritime lead project budget support,216194,250000,,,output/pdf/ifs/funder_safe_cost_appendices_20260712_113502/2414_Clean_Maritime_Demonstration_Competition_7_Deployment_trials_20260712_113502.pdf
