application_id,competition_id,name,route_class,model_status,profile,aureon_work_package_total_gbp,grant_request_gbp,company_contribution_gbp,partner_budget_status,submit_control,deadline,official_url
APP-IFS-ADOPT-FACILITATOR-R10-2520-20260709,2520,ADOPT Facilitator Support Grant: Round 10,EXPLICITLY_GATED_OR_INELIGIBLE,COST_SKELETON_READY_PARTNER_LEAD_REQUIRED,ADOPT_FACILITATOR_FIXED_GRANT_SUPPORT_ONLY,2500,2500,0,"Eligible England farming, growing or forestry business must apply.",Do not submit as R&A/Aureon direct applicant.,2026-08-12T11:00:00+01:00,https://apply-for-innovation-funding.service.gov.uk/competition/2520/overview/7b03dc59-645f-426d-a08f-6c6e6b6d6e0e
APP-IFS-UK-SWISS-CRD-R3-2512-20260709,2512,UK-Switzerland CR&D Round 3,LIVE_DRAFT_GATED,LIVE_IFS_FINANCE_COMPLETE_PROJECT_IMPACT_BLOCK,DIRECT_SME_R_AND_D_OPEN_SOURCE_MODEL_ENTERED,250000,175000,75000,Swiss implementation partner and research institute budget still required.,"Do not final submit until Project Impact persists, award terms are accepted, and partner evidence is present.",2026-09-03T11:00:00+01:00,https://apply-for-innovation-funding.service.gov.uk/competition/2512/overview/2f0a03c4-44b7-42dc-8845-70751b6bc531
APP-IFS-QUANTUM-HARDWARE-CRD-2523-20260709,2523,Scaling performance of quantum computing hardware: CR&D,EXPLICITLY_GATED_OR_INELIGIBLE,COST_SKELETON_READY_HARDWARE_LEAD_AND_FACILITY_REQUIRED,QUANTUM_HARDWARE_COLLABORATION_VALIDATION_SUPPORT,250000,,,"Quantum hardware lead, facility access, device work package and consortium budget required.",Do not submit without eligible lead and facility budget evidence.,2026-09-18T11:00:00+01:00,https://apply-for-innovation-funding.service.gov.uk/competition/2523/overview/780f14e7-b64d-4264-b206-b498304d03c5
APP-IFS-DRIVE35-COLLAB3-2522-20260709,2522,DRIVE35 Innovation Fund: Collaborate 3,EXPLICITLY_GATED_OR_INELIGIBLE,COST_SKELETON_READY_ZEV_PARTNER_AND_MATCH_FUNDING_REQUIRED,DRIVE35_COLLABORATE_ZEV_CONSORTIUM_EVIDENCE_OS_WORK_PACKAGE,250000,,,"Vehicle manufacturer, Tier 1 or ZEV delivery partner and match-funding evidence required.","Do not submit without ZEV partner, consortium role and budget evidence.",2026-09-16T11:00:00+01:00,https://apply-for-innovation-funding.service.gov.uk/competition/2522/overview/25a1cadb-ab0d-4d6d-a629-4f5d3ead5994
APP-IFS-NEXT-WAVE-10209601,2517,Next Wave: Breakthrough Wave 1,SUBMITTED_MONITOR_ONLY,NO_COST_CHANGE_PRESERVE_SUBMITTED_PROVIDER_RECORD,SUBMITTED_MONITOR_ONLY,,,,Already submitted or monitored; preserve provider record.,Monitor only.,2026-08-11T11:00:00+01:00,https://apply-for-innovation-funding.service.gov.uk/competition/2517/overview/6ff2066d-4639-44e6-bb4f-ce7099222739
APP-IFS-CFI-SEN-2511-20260709,2511,CfI: Earlier identification of UK children with SEN,SUBMITTED_MONITOR_ONLY,NO_COST_CHANGE_PRESERVE_SUBMITTED_PROVIDER_RECORD,SUBMITTED_MONITOR_ONLY,,,,Already submitted or monitored; preserve provider record.,Monitor only.,2026-08-05T11:00:00+01:00,https://apply-for-innovation-funding.service.gov.uk/competition/2511/overview/cc9f4bb9-55a5-4b4c-9843-015c385e021f
APP-IFS-FLF-R11-2499-20260709,2499,"Future Leaders Fellowships: Round 11, business and non-academic",SUBMITTED_MONITOR_ONLY,NO_COST_CHANGE_PRESERVE_SUBMITTED_PROVIDER_RECORD,SUBMITTED_MONITOR_ONLY,,,,Already submitted or monitored; preserve provider record.,Monitor only.,2026-11-04T11:00:00+00:00,https://apply-for-innovation-funding.service.gov.uk/competition/2499/overview/60da9000-d438-47fb-92aa-e8d9435a17ab
APP-IFS-DRIVE35-SCALE-UP-2445-20260709,2445,DRIVE35: Scale Up Fund,EXPLICITLY_GATED_OR_INELIGIBLE,COST_METHOD_ONLY_CAPITAL_SITE_AND_COINVESTMENT_REQUIRED,DRIVE35_SCALE_UP_CAPITAL_MANUFACTURING_ROUTE,250000,,,"GBP5m-plus manufacturing facility, site, staff and co-investment evidence required before any cost claim.",Keep as monitored route; do not submit without capital project evidence.,open-no-submission-deadline,https://apply-for-innovation-funding.service.gov.uk/competition/2445/overview/a850ba04-f0b3-42c5-8dfa-03375731a884
APP-IFS-CLEAN-ENERGY-FLEX-2509-20260709,2509,Consumer Led Flexibility for the Clean Energy Superpower Mission,SUBMITTED_MONITOR_ONLY,NO_COST_CHANGE_PRESERVE_SUBMITTED_PROVIDER_RECORD,SUBMITTED_MONITOR_ONLY,,,,Already submitted or monitored; preserve provider record.,Monitor only.,2026-08-26T11:00:00+01:00,https://apply-for-innovation-funding.service.gov.uk/competition/2509/overview/c1794f5a-06bf-41bb-8a13-3e657dacef54
APP-IFS-INNOVATION-LOANS-EOI-2505-20260709,2505,Innovation Loans Expression of Interest,EXPLICITLY_GATED_OR_INELIGIBLE,EXCLUDED_FROM_GRANT_COST_SUBMISSION_QUEUE,INNOVATION_LOANS_REPAYABLE_FINANCE,,,,Repayable finance route; repayment capacity and loan-risk approval required.,Do not treat as a grant submission.,open-no-submission-deadline,https://apply-for-innovation-funding.service.gov.uk/competition/2505/overview/8ef63f10-ea07-4ffd-9812-e944542751b6
